%eval_id interface p1             p2             p3             p4             p5             p6             p7             p8             p9             p10            p11            p12            p13            p14            p15            activation     energy         maxamp         
1        INTERFACE  -7.344648472   -6.438717443   -5.525222837   0.5319662127   -3.046617862   -3.062498349   -2.915088814   5.699947925    2.304633688    -0.2268624086  -5.841434234   -2.291664376   3.261681425    6.913856249    0.5616204362   -0.6883609295  9.733977527e-06 8.002546803    
2        INTERFACE  -7.302282499   -0.234446131   -4.570587949   6.34046388     -1.598339784   5.79327448     2.227655763    0.9349207875   5.621498557    1.261312146    1.853723053    -5.419548621   -2.224936841   5.446406306    3.856065858    -0.4527852833  9.465422237e-06 8.051356187    
3        INTERFACE  -7.145868467   3.214504205    2.894511982    6.871092191    -6.637983222   3.290884053    5.128303036    -6.217958636   2.03417558     -2.646580155   -2.090501271   -2.754114894   7.307754764    0.09811193338  6.006464031    -0.4611571133  1.238265955e-05 7.730418163    
4        INTERFACE  -7.107399688   6.472502255    -1.418660928   3.287112301    5.843594439    -0.5566441422  -0.9220036531  3.471897468    0.7253972223   -6.38782808    -6.674682693   6.134895952    -1.641942968   -6.866927936   -1.266992122   -0.6479228139  1.168489114e-05 6.904232416    
5        INTERFACE  -6.99795078    -2.550536885   2.859535564    -1.162699768   -4.406022922   -3.748073236   2.048377862    5.454335712    -2.975165532   -7.126140974   -2.025109364   3.980714733    -2.732096054   -5.464074108   -5.89882113    -0.6284617782  8.101286664e-06 7.375818642    
6        INTERFACE  -6.723339208   -7.157272913   6.516960659    -2.352487419   -7.103627929   5.757210852    -7.079975421   6.243291527    -0.274883191   -3.372542635   2.711709533    2.454334919    -5.311386803   1.260578925    -4.54138382    -0.4637173414  1.331637763e-05 7.702761466    
7        INTERFACE  -6.564564881   -0.9270565856  -2.857416249   0.8816832413   4.19882486     -0.9085518301  6.067481401    -5.055516105   -2.691812655   6.61708347     4.57217224     0.8923556182   -5.682745738   4.851666278    0.8249208253   -0.4672504663  9.426835025e-06 6.828222625    
8        INTERFACE  -6.552264508   4.448916166    -2.234410334   -2.980423696   -1.88715361    1.0558941      -1.064988458   -1.279867528   -4.07580512    -3.177655752   -7.447184231   6.904667595    -4.465005732   0.02039501794  -6.25680268    -0.2871500254  7.936042659e-06 8.716648143    
9        INTERFACE  -6.320148592   6.184383889    -5.333277603   -1.599175201   3.865574722    5.210641293    -4.523513644   -4.364379119   0.8809003506   -0.2517749126  -6.826857521   1.124349124    -0.8986648863  -7.140705935   -5.33751638    -0.7248853445  1.006885187e-05 7.767519165    
10       INTERFACE  -6.224438846   -5.332633824   -1.529604273   3.803109008    -1.852928484   4.892556177    7.295533453    -2.465945727   2.693888992    4.411271648    2.946611895    -2.167030086   4.050402086    -0.516260922   -6.941451765   -0.5892477632  9.900886482e-06 7.132894224    
11       INTERFACE  -5.965229384   0.4686327758   1.979515101    1.751825709    -5.38070415    -4.939423659   2.191792498    -5.918769263   0.3952152947   7.153222652    5.364671134    4.263121691    -1.811819006   -2.262355906   6.647493573    -0.5989749432  1.0291557e-05  6.907148335    
12       INTERFACE  -5.765257354   4.921703135    7.127738118    -0.9057284768  -6.116942104   6.150607005    1.808056573    2.309498649    -0.2939151334  2.727034704    -7.219149393   -3.499895798   5.322121262    -0.2871586209  3.427689656    -0.458969295   1.076733873e-05 7.825799532    
13       INTERFACE  -5.528924236   4.398795241    1.442289848    -2.192828138   6.933007571    -5.107457942   -5.505467892   -0.8943085528  2.173226618    2.815903421    2.732785696    1.064153844    1.378911694    -3.857244095   2.493517578    -0.4223577678  7.415129576e-06 6.78636003     
14       INTERFACE  -5.424562787   1.558287481    3.480892124    -5.628451618   6.863711681    5.102437992    -3.671953562   -2.13565401    4.28343962     3.608319522    -1.385392714   4.821248372    -6.26251647    -5.261157375   0.5086285146   -0.5385463834  1.045857559e-05 6.835131883    
15       INTERFACE  -5.119283648   -1.279017855   -0.05375188429 -2.374118562   -5.551135588   -2.31420184    -1.754340958   5.716739182    -6.950397931   2.127688345    -3.915831727   -4.799829201   -7.220505962   7.432565214    4.566495806    -0.5299286842  1.065562798e-05 8.775623127    
16       INTERFACE  -4.917408848   0.003192139558 -3.928159194   1.163930231    -4.209695566   -5.584564762   -6.892713918   2.368300788    5.387332713    1.332683304    3.480472707    6.21265002     -0.03242075096 -5.661470268   6.845722091    -0.6950116754  1.087894484e-05 7.122731423    
17       INTERFACE  -4.8013806     3.979657531    0.8623903563   -0.1587968495  -2.638659235   -2.438784791   6.43265132     -4.071177841   0.005699103934 -3.759161335   -4.954094371   -2.922128663   4.633194284    -3.136840109   -5.570462392   -0.5217612982  7.149410109e-06 7.59126967     
18       INTERFACE  -4.733629062   -1.705712739   -5.328021808   1.97516951     -3.987302643   -1.412245377   -2.112360813   1.059561832    1.662510943    6.007524705    4.381413521    -7.071008531   -2.159184576   6.118370722    2.866834875    -0.6223843098  8.575850084e-06 6.793628566    
19       INTERFACE  -4.438824166   -5.86514478    -3.170150204   1.531571561    5.437964235    2.476921319    -1.075872268   5.233497681    -7.489024415   -5.881983283   2.144769323    2.95758748     -0.5490133693  -1.304828592   -5.058673449   -0.6558386683  8.935859326e-06 6.548324232    
20       INTERFACE  -4.057495984   7.116638752    0.8461476808   6.633253593    -5.966301862   3.022571209    -1.452073813   -3.875960899   0.07354043311  1.296310832    -4.048477698   1.329408432    2.031829667    3.308541503    2.615575627    -0.5593941212  7.579017821e-06 6.562044535    
21       INTERFACE  -3.670939247   -2.309124279   3.999670533    -6.690904589   5.261200605    -2.003050095   7.015966542    -4.432811819   -0.7923589336  2.141466637    0.1900692064   0.5269593177   -6.661181654   1.994514803    -1.28197367    -0.5125290155  8.382375997e-06 7.435497583    
22       INTERFACE  -3.378503425   4.943971176    6.205200401    6.981032139    -3.718728598   -5.700822528   -4.267041104   5.829649264    7.253513192    0.2577933705   6.203508297    -2.271596179   -3.261491903   -4.028587763   -0.235670287   -0.7498195171  1.215204043e-05 6.577749064    
23       INTERFACE  -3.319393979   -4.044742226   -1.560394188   -3.691655868   2.549529297    -0.1773362852  -5.04104887    -3.142414138   -5.367837643   2.165036003    7.084620567    -5.086987036   6.165140205    4.906741829    2.125854343    -0.6360744238  9.318479189e-06 7.486801066    
24       INTERFACE  -3.27634574    1.710309353    1.794553138    -3.65045229    1.2324929      -6.503391391   -5.906543538   -1.07976284    -4.215691246   -6.740746891   6.430693755    5.484103043    6.824036864    0.7369176942   -0.3447733926  -0.7003334165  1.038313767e-05 7.293074401    
25       INTERFACE  -3.260422603   0.03508208205  1.863370693    6.237466139    -6.599057524   -3.089232687   -1.59798101    1.988387478    7.166367089    1.833630136    -3.211660707   -6.314067102   3.97699233     6.801702096    1.896985059    -0.3874997497  1.006038228e-05 7.082030115    
26       INTERFACE  -3.135478944   -4.100556998   4.527295147    -0.9635007514  5.374612519    -6.960007504   5.124253879    -4.237748301   1.599554328    -0.7132351856  -5.730223604   -1.519032158   -0.2842437163  -0.3894081725  -2.900661442   -0.5066817999  7.332337551e-06 6.268886325    
27       INTERFACE  -3.098260975   -6.693496063   6.139026498    -5.187709105   -1.838597951   -2.566693584   3.868914764    -0.9595653221  2.996021509    1.599031004    6.508016232    4.267158835    1.378450822    1.416131311    -1.156061719   -0.6176002622  7.898946364e-06 7.110518954    
28       INTERFACE  -3.041295074   -2.571277982   4.512288942    -7.060402958   -0.6997295926  3.876000615    5.542035034    3.128316845    -5.759653402   2.325474648    -0.7633636395  0.3549538915   -0.35327698    0.4741198909   2.593796516    -0.4497277737  6.769550991e-06 7.22027713     
29       INTERFACE  -2.857861978   7.367986171    2.804936916    3.081743841    -3.823669705   -2.145533794   -4.595592451   -1.364718568   2.212052068    -2.463430094   -6.699682572   1.796672628    -0.05041713014 6.965457634    -0.7965855502  -0.5466126204  8.288460922e-06 7.403526332    
30       INTERFACE  -2.69237434    -2.789379419   -5.063989357   3.751060085    5.166664115    -7.2784154     -7.291796857   3.767058296    -6.287493179   -1.236033961   6.211751054    -7.28658902    -0.808513648   -0.8406918581  -5.067367292   -0.5995154977  1.128378847e-05 7.945882978    
31       INTERFACE  -2.528810259   0.5072899107   4.840391864    5.817337429    -0.3594565032  6.374090001    1.339908631    5.688469684    -5.001870905   -6.086550943   -0.5152194914  -1.550348596   2.742857488    -5.983389825   -5.7418071     -0.8344842792  1.007455193e-05 6.40265929     
32       INTERFACE  -2.220337342   4.2476976      7.360482719    -3.894081184   2.625485538    4.486506724    5.609320224    -5.295493918   2.262231477    1.04486626     2.315092739    1.355897334    2.623189518    1.767401981    2.961129665    -0.4100936949  5.926127309e-06 6.998580752    
33       INTERFACE  -2.141566884   -0.5035895798  -2.816419718   0.9261654007   5.35425618     -3.034914022   2.032608988    5.705193089    4.544911225    -4.261458533   -5.823891581   -6.039361199   2.633566125    -1.046471968   -1.474575311   -0.7461009622  7.394149707e-06 6.076789826    
34       INTERFACE  -2.041884891   -4.253090041   4.823095457    7.16333664     3.646071998    3.524134523    6.768435167    -3.826507622   -0.9114510815  3.208422247    -5.450696423   -5.059466475   0.8056421198   -1.173678629   5.484755937    -0.7816402912  9.77224171e-06 6.369141707    
35       INTERFACE  -2.039750048   5.17507356     7.170694764    -1.611414365   -6.734170653   -5.26158847    -7.450585789   -2.646806242   -1.100415235   -6.869520046   4.724866921    3.820011109    -7.357760556   -4.919356886   -6.93552569    -0.8930086493  1.325228018e-05 9.17296024     
36       INTERFACE  -2.020199755   -4.574612618   -4.432267715   -1.642154248   7.281505696    -6.39355642    -7.14906309    0.07982524698  1.205932486    -4.029084664   -3.084272417   -0.6049753414  -2.722580393   -2.935214113   5.223753118    -0.4635043442  7.979495744e-06 8.89381596     
37       INTERFACE  -1.93173367    1.489261174    -2.792412418   -3.208453001   1.063390588    0.05025601599  5.640313205    -2.375973281   1.00224466     1.693585487    3.946894326    -4.500900436   -7.438049493   4.125659269    0.1191439794   -0.4541808367  6.267399919e-06 7.243251144    
38       INTERFACE  -1.809776344   6.006979378    -4.503788253   -7.446405657   4.744445517    -3.602845776   -3.035638337   -4.3535355     5.885541701    -3.369271255   4.980094637    -4.826119012   -2.183338357   1.457086959    -5.524416924   -0.4713261425  1.047334334e-05 7.10579108     
39       INTERFACE  -1.660313033   7.381485826    0.9894139569   6.604030102    0.8512641552   -2.861528446   6.330432342    4.13401106     3.954410365    -0.8897573191  -2.258363026   -2.717124033   -4.961563499   7.174746087    -5.775202084   -0.5620620847  1.042827238e-05 6.793698487    
40       INTERFACE  -1.570150249   6.296336548    1.997888742    0.8658603944   2.547396626    -0.3354471493  1.087445001    2.755599776    -4.068388853   2.299951822    -5.980434191   -5.356637807   2.513362803    0.7110521608   1.302670335    -0.361361444   5.595985567e-06 6.297090814    
41       INTERFACE  -1.117404165   -7.408475932   -1.51945397    1.435744741    -0.1453118341  1.588855332    -7.373659839   -0.3039228254  -1.732524568   -2.926810291   2.581371295    -5.351370011   0.794685729    4.606730701    -5.910590432   -0.4572352469  6.794315266e-06 6.030614206    
42       INTERFACE  -0.8340105383  -3.069925071   -2.76072758    -2.413445362   1.615045657    3.442201245    2.060777603    1.126887262    -3.462417215   -1.910396726   5.686525858    -4.186844033   0.1396362868   6.387265864    -4.206554287   -0.4468373656  6.019210574e-06 6.536389679    
43       INTERFACE  -0.7993551895  -5.891825845   -2.779026609   5.181190841    3.043918896    4.575661564    -0.7299538344  3.170259064    -3.228261269   5.037521605    -7.256551233   6.853110026    7.186151594    1.038134502    3.959840728    -0.4522388279  1.047952858e-05 8.466602161    
